id,cp,estado,municipio,localidad,estimlo_ft,time_zone
403,20401,AGU,,,0,America/Mexico_City
404,20402,AGU,,,0,America/Mexico_City
405,20403,AGU,7,6,0,America/Mexico_City
406,20404,AGU,7,6,0,America/Mexico_City
407,20405,AGU,7,6,0,America/Mexico_City
408,20406,AGU,7,6,0,America/Mexico_City
409,20407,AGU,,,0,America/Mexico_City
410,20408,AGU,,,0,America/Mexico_City
411,20409,AGU,,,0,America/Mexico_City
412,20410,AGU,7,6,0,America/Mexico_City
413,20411,AGU,,,0,America/Mexico_City
414,20412,AGU,,,0,America/Mexico_City
415,20413,AGU,,,0,America/Mexico_City
416,20414,AGU,7,6,0,America/Mexico_City
417,20415,AGU,7,6,0,America/Mexico_City
418,20416,AGU,7,6,0,America/Mexico_City
419,20417,AGU,7,6,0,America/Mexico_City
420,20418,AGU,,,0,America/Mexico_City
421,20419,AGU,,,0,America/Mexico_City
422,20420,AGU,7,,0,America/Mexico_City
423,20421,AGU,,,0,America/Mexico_City
424,20422,AGU,,,0,America/Mexico_City
425,20423,AGU,7,,0,America/Mexico_City
426,20424,AGU,7,,0,America/Mexico_City
427,20425,AGU,7,,0,America/Mexico_City
428,20426,AGU,7,,0,America/Mexico_City
429,20427,AGU,7,,0,America/Mexico_City
430,20428,AGU,,,0,America/Mexico_City
431,20429,AGU,,,0,America/Mexico_City
432,20430,AGU,7,,0,America/Mexico_City
433,20431,AGU,,,0,America/Mexico_City
434,20432,AGU,,,0,America/Mexico_City
435,20433,AGU,,,0,America/Mexico_City
436,20434,AGU,7,,0,America/Mexico_City
437,20435,AGU,7,,0,America/Mexico_City
438,20436,AGU,7,,0,America/Mexico_City
439,20437,AGU,7,,0,America/Mexico_City
440,20438,AGU,,,0,America/Mexico_City
441,20439,AGU,,,0,America/Mexico_City
442,20440,AGU,7,,0,America/Mexico_City
443,20441,AGU,,,0,America/Mexico_City
444,20442,AGU,,,0,America/Mexico_City
445,20443,AGU,,,0,America/Mexico_City
446,20444,AGU,7,,0,America/Mexico_City
447,20445,AGU,7,,0,America/Mexico_City
448,20446,AGU,7,,0,America/Mexico_City
449,20447,AGU,7,,0,America/Mexico_City
450,20448,AGU,,,0,America/Mexico_City
451,20449,AGU,,,0,America/Mexico_City
452,20450,AGU,7,,0,America/Mexico_City
453,20451,AGU,,,0,America/Mexico_City
454,20452,AGU,,,0,America/Mexico_City
455,20453,AGU,,,0,America/Mexico_City
456,20454,AGU,7,,0,America/Mexico_City
457,20455,AGU,,,0,America/Mexico_City
458,20456,AGU,7,,0,America/Mexico_City
459,20457,AGU,7,,0,America/Mexico_City
460,20458,AGU,,,0,America/Mexico_City
461,20459,AGU,,,0,America/Mexico_City
462,20460,AGU,4,9,0,America/Mexico_City
463,20461,AGU,,,0,America/Mexico_City
464,20462,AGU,4,9,0,America/Mexico_City
465,20463,AGU,,,0,America/Mexico_City
466,20464,AGU,,,0,America/Mexico_City
467,20465,AGU,,,0,America/Mexico_City
468,20466,AGU,4,9,0,America/Mexico_City
469,20467,AGU,4,9,0,America/Mexico_City
470,20468,AGU,4,9,0,America/Mexico_City
471,20469,AGU,4,9,0,America/Mexico_City
472,20470,AGU,4,,0,America/Mexico_City
473,20471,AGU,,,0,America/Mexico_City
474,20472,AGU,4,,0,America/Mexico_City
475,20473,AGU,,,0,America/Mexico_City
476,20474,AGU,,,0,America/Mexico_City
477,20475,AGU,,,0,America/Mexico_City
478,20476,AGU,4,,0,America/Mexico_City
479,20477,AGU,,,0,America/Mexico_City
480,20478,AGU,4,,0,America/Mexico_City
481,20479,AGU,,,0,America/Mexico_City
482,20480,AGU,,,0,America/Mexico_City
483,20481,AGU,,,0,America/Mexico_City
484,20482,AGU,,,0,America/Mexico_City
485,20483,AGU,,,0,America/Mexico_City
486,20484,AGU,,,0,America/Mexico_City
487,20485,AGU,,,0,America/Mexico_City
488,20486,AGU,,,0,America/Mexico_City
489,20487,AGU,,,0,America/Mexico_City
490,20488,AGU,,,0,America/Mexico_City
491,20489,AGU,,,0,America/Mexico_City
492,20490,AGU,,,0,America/Mexico_City
493,20491,AGU,,,0,America/Mexico_City
494,20492,AGU,,,0,America/Mexico_City
495,20493,AGU,,,0,America/Mexico_City
496,20494,AGU,,,0,America/Mexico_City
497,20495,AGU,,,0,America/Mexico_City
498,20496,AGU,,,0,America/Mexico_City
499,20497,AGU,,,0,America/Mexico_City
500,20498,AGU,,,0,America/Mexico_City
501,20499,AGU,,,0,America/Mexico_City
502,20500,AGU,8,,0,America/Mexico_City
503,20501,AGU,8,,0,America/Mexico_City
504,20502,AGU,8,,0,America/Mexico_City
505,20503,AGU,8,,0,America/Mexico_City
506,20504,AGU,8,,0,America/Mexico_City
507,20505,AGU,,,0,America/Mexico_City
508,20506,AGU,8,,0,America/Mexico_City
509,20507,AGU,,,0,America/Mexico_City
510,20508,AGU,8,,0,America/Mexico_City
511,20509,AGU,,,0,America/Mexico_City
512,20510,AGU,8,,0,America/Mexico_City
513,20511,AGU,,,0,America/Mexico_City
514,20512,AGU,,,0,America/Mexico_City
515,20513,AGU,,,0,America/Mexico_City
516,20514,AGU,,,0,America/Mexico_City
517,20515,AGU,,,0,America/Mexico_City
518,20516,AGU,8,,0,America/Mexico_City
519,20517,AGU,,,0,America/Mexico_City
520,20518,AGU,,,0,America/Mexico_City
521,20519,AGU,,,0,America/Mexico_City
522,20520,AGU,8,,0,America/Mexico_City
523,20521,AGU,,,0,America/Mexico_City
524,20522,AGU,,,0,America/Mexico_City
525,20523,AGU,,,0,America/Mexico_City
526,20524,AGU,,,0,America/Mexico_City
527,20525,AGU,8,,0,America/Mexico_City
528,20526,AGU,,,0,America/Mexico_City
529,20527,AGU,,,0,America/Mexico_City
530,20528,AGU,,,0,America/Mexico_City
531,20529,AGU,,,0,America/Mexico_City
532,20530,AGU,8,,0,America/Mexico_City
533,20531,AGU,,,0,America/Mexico_City
534,20532,AGU,,,0,America/Mexico_City
535,20533,AGU,,,0,America/Mexico_City
536,20534,AGU,8,,0,America/Mexico_City
537,20535,AGU,,,0,America/Mexico_City
538,20536,AGU,,,0,America/Mexico_City
539,20537,AGU,,,0,America/Mexico_City
540,20538,AGU,8,,0,America/Mexico_City
541,20539,AGU,,,0,America/Mexico_City
542,20540,AGU,8,,0,America/Mexico_City
543,20541,AGU,,,0,America/Mexico_City
544,20542,AGU,,,0,America/Mexico_City
545,20543,AGU,,,0,America/Mexico_City
546,20544,AGU,,,0,America/Mexico_City
547,20545,AGU,8,,0,America/Mexico_City
548,20546,AGU,,,0,America/Mexico_City
549,20547,AGU,,,0,America/Mexico_City
550,20548,AGU,,,0,America/Mexico_City
551,20549,AGU,,,0,America/Mexico_City
552,20550,AGU,8,,0,America/Mexico_City
553,20551,AGU,,,0,America/Mexico_City
554,20552,AGU,,,0,America/Mexico_City
555,20553,AGU,,,0,America/Mexico_City
556,20554,AGU,,,0,America/Mexico_City
557,20555,AGU,,,0,America/Mexico_City
558,20556,AGU,,,0,America/Mexico_City
559,20557,AGU,,,0,America/Mexico_City
560,20558,AGU,,,0,America/Mexico_City
561,20559,AGU,,,0,America/Mexico_City
562,20560,AGU,8,,0,America/Mexico_City
563,20561,AGU,,,0,America/Mexico_City
564,20562,AGU,,,0,America/Mexico_City
565,20563,AGU,,,0,America/Mexico_City
566,20564,AGU,8,,0,America/Mexico_City
567,20565,AGU,,,0,America/Mexico_City
568,20566,AGU,,,0,America/Mexico_City
569,20567,AGU,8,,0,America/Mexico_City
570,20568,AGU,,,0,America/Mexico_City
571,20569,AGU,,,0,America/Mexico_City
572,20570,AGU,8,,0,America/Mexico_City
573,20571,AGU,,,0,America/Mexico_City
574,20572,AGU,,,0,America/Mexico_City
575,20573,AGU,,,0,America/Mexico_City
576,20574,AGU,8,,0,America/Mexico_City
577,20575,AGU,,,0,America/Mexico_City
578,20576,AGU,8,,0,America/Mexico_City
579,20577,AGU,,,0,America/Mexico_City
580,20578,AGU,8,,0,America/Mexico_City
581,20579,AGU,,,0,America/Mexico_City
582,20580,AGU,8,,0,America/Mexico_City
583,20581,AGU,,,0,America/Mexico_City
584,20582,AGU,,,0,America/Mexico_City
585,20583,AGU,,,0,America/Mexico_City
586,20584,AGU,8,,0,America/Mexico_City
587,20585,AGU,,,0,America/Mexico_City
588,20586,AGU,,,0,America/Mexico_City
589,20587,AGU,,,0,America/Mexico_City
590,20588,AGU,,,0,America/Mexico_City
591,20589,AGU,,,0,America/Mexico_City
592,20590,AGU,8,,0,America/Mexico_City
593,20591,AGU,,,0,America/Mexico_City
594,20592,AGU,,,0,America/Mexico_City
595,20593,AGU,,,0,America/Mexico_City
596,20594,AGU,,,0,America/Mexico_City
597,20595,AGU,,,0,America/Mexico_City
598,20596,AGU,,,0,America/Mexico_City
599,20597,AGU,,,0,America/Mexico_City
600,20598,AGU,,,0,America/Mexico_City
601,20599,AGU,,,0,America/Mexico_City
602,20600,AGU,9,8,0,America/Mexico_City
603,20601,AGU,,,0,America/Mexico_City
604,20602,AGU,9,8,0,America/Mexico_City
605,20603,AGU,9,8,0,America/Mexico_City
606,20604,AGU,9,8,0,America/Mexico_City
607,20605,AGU,9,8,0,America/Mexico_City
608,20606,AGU,,,0,America/Mexico_City
609,20607,AGU,9,8,0,America/Mexico_City
610,20608,AGU,9,8,0,America/Mexico_City
611,20609,AGU,,,0,America/Mexico_City
612,20610,AGU,9,,0,America/Mexico_City
